Tên tiếng Việt,Tên khoa học,Tên đồng nghĩa,Họ thực vật,Công dụng,Phân bố,Mùa hoa quả
"Đơn vàng, Đơn đỏ dại, Đơn hẹp",Ixora stricta Roxb. – Ixora coccinea L. var. lutea (Hutch.) Corner,0,Rubiaceae,Chữa đau đầu và bệnh đường ruột (Hoa).,"Bắc Giang, Quảng Ninh, Hải Phòng, Ninh Bình, Quảng Trị, Khánh Hòa, Đồng Nai. Cây mọc tự nhiên, còn được trồng làm cảnh.",I-XII
Sung dị,Ficus lacor Buch.-Ham.,0,Moraceae,"Rửa mụn nhọt lở loét, bạch đới (Vỏ).","Sơn La, Vĩnh Phúc, Ninh Bình, Kon Tum, Khánh Hòa. Cây mọc tự nhiên rải rác trong rừng nguyên sinh.",3-7
Nê,Annona glabra L.,0,Na (Annonaceae),"Sốt, ỉa chảy, giun sán (Quả khô sắc uống). Trừ sâu, chấy rận (Hạt).",Cây trồng ở các tỉnh ven biển từ Quảng Ninh tới các tỉnh phía Nam. Nguyên bản từ vùng nhiệt đới Châu Mỹ tới Châu Phi. ,5-10
"Muồng me, Muồng hai nang",Senna bicapsularis (L.) Roxb.; Cassia bicapsularis L.,0,Caesalpiniaceae,"An thần, gây ngủ (Hạt).","Bình Thuận, thành phố Hồ Chí Minh, Long An. Nguyên sản từ Nam Mỹ du nhập vào Việt Nam. Cây mọc tự nhiên, còn được trồng.",I-XII
Trúc cứng,Phyllostachys bambusoides Sieb. et Zucc.,0,Poaceae,"Sốt cao, đau mắt, lở miệng (Thân rễ).","Miền Nam. Cây trồng trong vườn, trong chậu để làm cảnh.",0
"Sả, Hương mao, Phiắc châu (Thái), Cà phéc (Tày), Sả chanh",Cymbopogon citratus (DC.) Stapf.,0,Poaceae,"Cảm cúm (Lá nấu xông). Chữa đau bụng, nôn mửa, sốt nóng, ỉa chảy, phong tê thấp (cả cây sắc uống hoặc nấu nước xông). Trừ côn trùng (Tinh dầu phun).",Cây trồng.,XI-XII
Chàm cua,Indigofera dosua Buch.-Ham. ex D. Don,Indigofera stachyodes Lindl.,Đậu – Fabaceae,"Chữa nhọt sưng, đòn ngã, lỵ lâu ngày, các loại phong thấp, băng lậu, nhọt lở lâu không hàn miệng (rễ).","Gia Lai (Đắk Đoa), Lâm Đồng (Đà Lạt, Lang Bian, Đức Trọng, Bì Đúp), Khánh Hòa (Nha Trang), Ninh Thuận (Sông Pha).",0
"Chanh cóc, Ché, Cốc lụm",Narengi crenulata (M. Roem.) Nicols. – Hesperethusa crenu-lata M.Roem.,0,Rutaceae.,Chữa sốt (Rễ). Còn dùng làm thuốc xổ.,"Khánh Hoà, Kon Tum, Lâm Đồng. Cây mọc tự nhiên rải rác trong rừng thứ sinh, ở độ cao 600 m trở lên.",VI-IX; 8-10
"Sa nhân thầu dầu, Sa nhân lớn, Nghiêu đin (Tày)",Amomum vespertilio Gagnep.,0,Zingiberaceae,Quả dùng phối hợp trong bài thuốc chữa đau dạ dày. Cụm hoa sắc uống chữa dị ứng.,Miền Bắc Việt Nam. Cây mọc tự nhiên dưới tán rừng ẩm.,VI-IX; 9-12
Ngải mọi,Globba pendula Roxb.,0,Zingiberaceae,"Sốt, thấp khớp (cả cây).",Đồng Nai (Biên Hòa). Cây trồng làm cảnh.,VII-VIII
